deduction_code,employee_payroll_number,deduction_month,deduction_year,amount
008,0091,11,2023,15000
008,0581,11,2023,5000
007,0017,11,2023,4500
007,0053,11,2023,11000
007,0091,11,2023,17750
007,0147,11,2023,12000
007,0581,11,2023,11167
017,0053,11,2023,3379
017,0147,11,2023,4433
016,0147,11,2023,7000
007,0008,11,2023,5450
007,0016,11,2023,9555
007,0020,11,2023,2000
007,0021,11,2023,1000
007,0024,11,2023,6642
007,0026,11,2023,10000
007,0027,11,2023,4806
007,0033,11,2023,5168
007,0037,11,2023,11500
007,0038,11,2023,7369
007,0039,11,2023,5734
007,0049,11,2023,1000
007,0050,11,2023,11000
007,0055,11,2023,9833
007,0058,11,2023,500
007,0060,11,2023,2500
007,0071,11,2023,6900
007,0073,11,2023,500
007,0075,11,2023,11465
007,0076,11,2023,2000
007,0078,11,2023,8050
007,0083,11,2023,13647
007,0085,11,2023,5570
007,0090,11,2023,11000
007,0095,11,2023,5888
007,0102,11,2023,13944
007,0103,11,2023,6550
007,0109,11,2023,6000
007,0113,11,2023,7861
007,0116,11,2023,7011
007,0120,11,2023,1500
007,0125,11,2023,10230
007,0127,11,2023,6025
007,0131,11,2023,3000
007,0133,11,2023,1500
007,0146,11,2023,7000
007,0151,11,2023,5633
007,0154,11,2023,5898
007,0162,11,2023,5000
007,0166,11,2023,2000
007,0174,11,2023,5583
007,0200,11,2023,1000
007,0205,11,2023,12167
007,0208,11,2023,3750
007,0217,11,2023,3000
007,0223,11,2023,1500
007,0226,11,2023,7880
007,0232,11,2023,1000
007,0235,11,2023,1000
007,0236,11,2023,12000
007,0269,11,2023,6500
007,0270,11,2023,5278
007,0271,11,2023,9067
007,0274,11,2023,11000
007,0285,11,2023,1500
007,0294,11,2023,14750
007,0302,11,2023,500
007,0306,11,2023,3750
007,0309,11,2023,6059
007,0311,11,2023,5889
007,0316,11,2023,6500
007,0317,11,2023,1000
007,0327,11,2023,5667
007,0328,11,2023,4835
007,0334,11,2023,2000
007,0341,11,2023,2000
007,0347,11,2023,12000
007,0349,11,2023,1000
007,0353,11,2023,9500
007,0359,11,2023,1000
007,0362,11,2023,1000
007,0363,11,2023,1000
007,0367,11,2023,7233
007,0368,11,2023,1000
007,0371,11,2023,4960
007,0372,11,2023,1500
007,0379,11,2023,6060
007,0385,11,2023,2500
007,0394,11,2023,8612
007,0397,11,2023,11000
007,0414,11,2023,5125
007,0421,11,2023,1000
007,0445,11,2023,13110
007,0450,11,2023,13313
007,0452,11,2023,5267
007,0466,11,2023,6825
007,0468,11,2023,4667
007,0472,11,2023,2500
007,0473,11,2023,2000
007,0474,11,2023,6500
007,0479,11,2023,3000
007,0483,11,2023,1000
007,0486,11,2023,15000
007,0487,11,2023,6089
007,0497,11,2023,13500
007,0501,11,2023,4300
007,0509,11,2023,8600
007,0517,11,2023,9800
007,0518,11,2023,500
007,0520,11,2023,2500
007,0521,11,2023,1000
007,0528,11,2023,3433
007,0529,11,2023,1000
007,0532,11,2023,4667
007,0534,11,2023,2000
007,0536,11,2023,11567
007,0537,11,2023,4350
007,0540,11,2023,4533
007,0545,11,2023,1500
007,0551,11,2023,1000
007,0556,11,2023,10200
007,0557,11,2023,1500
007,0558,11,2023,2500
007,0559,11,2023,2000
007,0561,11,2023,3188
007,0569,11,2023,5675
007,0582,11,2023,1000
007,0583,11,2023,6958
007,0584,11,2023,3000
007,0587,11,2023,4300
007,0588,11,2023,6500
007,0590,11,2023,8013
007,0592,11,2023,1500
007,0594,11,2023,2500
007,0596,11,2023,5767
007,0603,11,2023,5400
007,0604,11,2023,4750
007,0606,11,2023,6500
007,0607,11,2023,6651
007,0608,11,2023,1000
007,0609,11,2023,4667
007,0610,11,2023,3750
007,0611,11,2023,3200
007,0612,11,2023,2000
007,0613,11,2023,7500
007,0619,11,2023,1500
007,621,11,2023,7500
007,0629,11,2023,6500
007,0630,11,2023,4300
007,0635,11,2023,3500
007,0636,11,2023,5675
007,0637,11,2023,7125
007,0643,11,2023,4894
007,0645,11,2023,4300
007,0646,11,2023,3000
007,0647,11,2023,4117
007,0650,11,2023,1500
007,0652,11,2023,1500
007,0654,11,2023,1500
007,0655,11,2023,2000
007,0656,11,2023,7500
007,0657,11,2023,7500
007,0659,11,2023,1500
007,0661,11,2023,2000
007,0662,11,2023,2000
007,0663,11,2023,1000
007,0667,11,2023,6000
007,0669,11,2023,4771
007,0670,11,2023,2000
007,0671,11,2023,6500
007,0676,11,2023,1000
007,677,11,2023,1000
007,0682,11,2023,7000
007,0685,11,2023,5167
007,0686,11,2023,9125
007,0688,11,2023,3750
007,0689,11,2023,15000
007,0690,11,2023,3750
007,0691,11,2023,3000
007,0692,11,2023,1500
007,0695,11,2023,3067
007,0696,11,2023,1000
007,0698,11,2023,3860
007,0700,11,2023,3650
007,0702,11,2023,1000
007,0704,11,2023,1000
007,0708,11,2023,1500
007,0710,11,2023,1500
007,0713,11,2023,2000
007,0715,11,2023,1500
007,0716,11,2023,1500
007,0719,11,2023,6610
007,0723,11,2023,1500
007,0724,11,2023,5400
007,0728,11,2023,1500
007,0731,11,2023,2000
007,0761,11,2023,1500
007,0737,11,2023,1500
007,0739,11,2023,5460
007,0740,11,2023,10900
007,0742,11,2023,1500
007,0744,11,2023,2000
007,0751,11,2023,1500
007,0753,11,2023,2000
007,0760,11,2023,1000
007,0763,11,2023,1000
007,0764,11,2023,1000
007,0410,11,2023,4674
007,0193,11,2023,1000
007,0771,11,2023,1000
007,0775,11,2023,1000
008,0083,11,2023,5000
008,0146,11,2023,5000
008,0200,11,2023,3000
008,0737,11,2023,2000
016,0024,11,2023,3000
016,0037,11,2023,3001
016,0058,11,2023,3000
016,0073,11,2023,3000
016,0076,11,2023,3000
016,0095,11,2023,1000
016,0113,11,2023,3000
016,0223,11,2023,1500
016,0270,11,2023,3000
016,0468,11,2023,3000
016,0559,11,2023,3000
016,0690,11,2023,3000
016,0703,11,2023,500
016,0764,11,2023,2000
016,0410,11,2023,3000
017,0016,11,2023,868
017,0020,11,2023,31
017,0049,11,2023,31
017,0050,11,2023,682
017,0075,11,2023,310
017,0116,11,2023,1240
017,0133,11,2023,93
017,0146,11,2023,2015
017,0200,11,2023,930
017,0205,11,2023,713
017,0223,11,2023,4061
017,0270,11,2023,620
017,0309,11,2023,186
017,0317,11,2023,434
017,0318,11,2023,310
017,0347,11,2023,682
017,0363,11,2023,31
017,0372,11,2023,1736
017,0376,11,2023,62
017,0379,11,2023,62
017,0397,11,2023,155
017,0452,11,2023,31
017,0458,11,2023,465
017,0483,11,2023,31
017,0502,11,2023,124
017,0509,11,2023,155
017,0528,11,2023,310
017,0540,11,2023,155
017,0554,11,2023,403
017,0556,11,2023,775
017,0583,11,2023,31
017,0588,11,2023,930
017,0589,11,2023,713
017,0606,11,2023,217
017,0639,11,2023,62
017,0652,11,2023,248
017,0654,11,2023,93
017,0667,11,2023,310
017,0668,11,2023,527
017,0691,11,2023,403
017,0692,11,2023,155
017,0728,11,2023,279
017,0732,11,2023,930
017,0740,11,2023,124
017,0745,11,2023,341
017,0760,11,2023,186
010,0414,11,2023,2000
010,0451,11,2023,2000
010,0501,11,2023,1500
010,704,11,2023,1000
010,0747,11,2023,2000
010,0762,11,2023,2000